Code,Decimal,Description,Abbreviation / Key
U+008B,139,Partial Line Forward,PLD
U+008C,140,Partial Line Backward,PLU
U+008D,141,Reverse Line Feed,RI
U+008E,142,Single-Shift Two,SS2
U+008F,143,Single-Shift Three,SS3
U+0090,144,Device Control String,DCS
U+0091,145,Private Use 1,PU1
U+0092,146,Private Use 2,PU2
U+0093,147,Set Transmit State,STS
U+0094,148,Cancel character,CCH
U+0095,149,Message Waiting,MW
U+0096,150,Start of Protected Area,SPA
U+0097,151,End of Protected Area,EPA
U+0098,152,Start of String,SOS
U+0099,153,Single Graphic Character Introducer,SGCI
U+009A,154,Single Character Intro Introducer,SCI
U+009B,155,Control Sequence Introducer,CSI
U+009C,156,String Terminator,ST
U+009D,157,Operating System Command,OSC
U+009E,158,Private Message,PM
U+009F,159,Application Program Command,
U+0020,32,Space,
U+0021,33,Exclamation mark,!
U+0022,34,Quotation mark,""""
U+0023,35,"Number sign, Hash, Octothorpe, Sharp",#
U+0024,36,Dollar sign,$
U+0025,37,Percent sign,%
U+0026,38,Ampersand,&
U+0027,39,Apostrophe,
U+0028,40,Left parenthesis,(
U+0029,41,Right parenthesis,)
U+002A,42,Asterisk,*
U+002B,43,Plus sign,#ERROR!
U+002C,44,Comma,","
U+002D,45,Hyphen-minus,-
U+002E,46,Full stop,.
U+002F,47,Slash (Solidus),/
U+0030,48,Digit Zero,0
U+0031,49,Digit One,1
U+0032,50,Digit Two,2
U+0033,51,Digit Three,3
U+0034,52,Digit Four,4
U+0035,53,Digit Five,5
U+0036,54,Digit Six,6
U+0037,55,Digit Seven,7
U+0038,56,Digit Eight,8
U+0039,57,Digit Nine,9
U+003A,58,Colon,:
U+003B,59,Semicolon,;
U+003C,60,Less-than sign,<
U+003D,61,Equal sign,#ERROR!
U+003E,62,Greater-than sign,>
U+003F,63,Question mark,?
U+0040,64,At sign,@
U+0041,65,Latin Capital letter A,A
U+0042,66,Latin Capital letter B,B
U+0043,67,Latin Capital letter C,C
U+0044,68,Latin Capital letter D,D
U+0045,69,Latin Capital letter E,E
U+0046,70,Latin Capital letter F,F
U+0047,71,Latin Capital letter G,G
U+0048,72,Latin Capital letter H,H
U+0049,73,Latin Capital letter I,I
U+004A,74,Latin Capital letter J,J
U+004B,75,Latin Capital letter K,K
U+004C,76,Latin Capital letter L,L
U+004D,77,Latin Capital letter M,M
U+004E,78,Latin Capital letter N,N
U+004F,79,Latin Capital letter O,O
U+0050,80,Latin Capital letter P,P
U+0051,81,Latin Capital letter Q,Q
U+0052,82,Latin Capital letter R,R
U+0053,83,Latin Capital letter S,S
U+0054,84,Latin Capital letter T,T
U+0055,85,Latin Capital letter U,U
U+0056,86,Latin Capital letter V,V
U+0057,87,Latin Capital letter W,W
U+0058,88,Latin Capital letter X,X
U+0059,89,Latin Capital letter Y,Y
U+005A,90,Latin Capital letter Z,Z
U+005B,91,Left square bracket,[
U+005C,92,Backslash,\
U+005D,93,Right square bracket,]
U+005E,94,Circumflex accent,^
U+005F,95,Low line,_
U+0060,96,Grave accent,`
U+0061,97,Latin Small Letter A,a
U+0062,98,Latin Small Letter B,b
U+0063,99,Latin Small Letter C,c
U+0064,100,Latin Small Letter D,d
U+0065,101,Latin Small Letter E,e
U+0066,102,Latin Small Letter F,f
U+0067,103,Latin Small Letter G,g
U+0068,104,Latin Small Letter H,h
U+0069,105,Latin Small Letter I,i
U+006A,106,Latin Small Letter J,j
U+006B,107,Latin Small Letter K,k
U+006C,108,Latin Small Letter L,l
U+006D,109,Latin Small Letter M,m
U+006E,110,Latin Small Letter N,n
U+006F,111,Latin Small Letter O,o
U+0070,112,Latin Small Letter P,p
U+0071,113,Latin Small Letter Q,q
U+0072,114,Latin Small Letter R,r
U+0073,115,Latin Small Letter S,s
U+0074,116,Latin Small Letter T,t
U+0075,117,Latin Small Letter U,u
U+0076,118,Latin Small Letter V,v
U+0077,119,Latin Small Letter W,w
U+0078,120,Latin Small Letter X,x
U+0079,121,Latin Small Letter Y,y
U+007A,122,Latin Small Letter Z,z
U+007B,123,Left curly bracket,{
U+007C,124,Vertical bar,|
U+007D,125,Right curly bracket,}
U+007E,126,Tilde,~
U+00A0,160,Non-breaking space,
U+00A1,161,Inverted Exclamation Mark,¡
U+00A2,162,Cent sign,¢
U+00A3,163,Pound sign,£
U+00A4,164,Currency sign,¤
U+00A5,165,Yen sign,¥
U+00A6,166,Broken bar,¦
U+00A7,167,Section sign,§
U+00A8,168,Diaeresis (Umlaut),¨
U+00A9,169,Copyright symbol,©
U+00AA,170,Feminine Ordinal Indicator,ª
U+00AB,171,Left-pointing double angle quotation mark,«
U+00AC,172,Not sign,¬
U+00AD,173,Soft hyphen,
U+00AE,174,Registered trademark symbol,®
U+00AF,175,Macron,¯
U+00B0,176,Degree sign,°
U+00B1,177,Plus–minus sign,±
U+00B2,178,Superscript two,²
U+00B3,179,Superscript three,³
U+00B4,180,Acute accent,´
U+00B5,181,Micro sign,µ
U+00B6,182,Pilcrow sign,¶
U+00B7,183,Middle dot,·
U+00B8,184,Cedilla,¸
U+00B9,185,Superscript one,¹
U+00BA,186,Masculine ordinal indicator,º
U+00BB,187,Right-pointing double angle quotation mark,»
U+00BC,188,Vulgar fraction one quarter,¼
U+00BD,189,Vulgar fraction one half,½
U+00BE,190,Vulgar fraction three quarters,¾
U+00BF,191,Inverted Question Mark,¿
U+00C0,192,Latin Capital Letter A with grave,À
U+00C1,193,Latin Capital letter A with acute,Á
U+00C2,194,Latin Capital letter A with circumflex,Â
U+00C3,195,Latin Capital letter A with tilde,Ã
U+00C4,196,Latin Capital letter A with diaeresis,Ä
U+00C5,197,Latin Capital letter A with ring above,Å
U+00C6,198,Latin Capital letter Æ,Æ
U+00C7,199,Latin Capital letter C with cedilla,Ç
U+00C8,200,Latin Capital letter E with grave,È
U+00C9,201,Latin Capital letter E with acute,É
U+00CA,202,Latin Capital letter E with circumflex,Ê
U+00CB,203,Latin Capital letter E with diaeresis,Ë
U+00CC,204,Latin Capital letter I with grave,Ì
U+00CD,205,Latin Capital letter I with acute,Í
U+00CE,206,Latin Capital letter I with circumflex,Î
U+00CF,207,Latin Capital letter I with diaeresis,Ï
U+00D0,208,Latin Capital letter Eth,Ð
U+00D1,209,Latin Capital letter N with tilde,Ñ
U+00D2,210,Latin Capital letter O with grave,Ò
U+00D3,211,Latin Capital letter O with acute,Ó
U+00D4,212,Latin Capital letter O with circumflex,Ô
U+00D5,213,Latin Capital letter O with tilde,Õ
U+00D6,214,Latin Capital letter O with diaeresis,Ö
U+00D7,215,Multiplication sign,×
U+00D8,216,Latin Capital letter O with stroke,Ø
U+00D9,217,Latin Capital letter U with grave,Ù
U+00DA,218,Latin Capital letter U with acute,Ú
U+00DB,219,Latin Capital Letter U with circumflex,Û
U+00DC,220,Latin Capital Letter U with diaeresis,Ü
U+00DD,221,Latin Capital Letter Y with acute,Ý
U+00DE,222,Latin Capital Letter Thorn,Þ
U+00DF,223,Latin Small Letter sharp S,ß
U+00E0,224,Latin Small Letter A with grave,à
U+00E1,225,Latin Small Letter A with acute,á
U+00E2,226,Latin Small Letter A with circumflex,â
U+00E3,227,Latin Small Letter A with tilde,ã
U+00E4,228,Latin Small Letter A with diaeresis,ä
U+00E5,229,Latin Small Letter A with ring above,å
U+00E6,230,Latin Small Letter Æ,æ
U+00E7,231,Latin Small Letter C with cedilla,ç
U+00E8,232,Latin Small Letter E with grave,è
U+00E9,233,Latin Small Letter E with acute,é
U+00EA,234,Latin Small Letter E with circumflex,ê
U+00EB,235,Latin Small Letter E with diaeresis,ë
U+00EC,236,Latin Small Letter I with grave,ì
U+00ED,237,Latin Small Letter I with acute,í
U+00EE,238,Latin Small Letter I with circumflex,î
U+00EF,239,Latin Small Letter I with diaeresis,ï
U+00F0,240,Latin Small Letter Eth,ð
U+00F1,241,Latin Small Letter N with tilde,ñ
U+00F2,242,Latin Small Letter O with grave,ò
U+00F3,243,Latin Small Letter O with acute,ó
U+00F4,244,Latin Small Letter O with circumflex,ô
U+00F5,245,Latin Small Letter O with tilde,õ
U+00F6,246,Latin Small Letter O with diaeresis,ö
U+00F7,247,Division sign,÷
U+00F8,248,Latin Small Letter O with stroke,ø
U+00F9,249,Latin Small Letter U with grave,ù
U+00FA,250,Latin Small Letter U with acute,ú
U+00FB,251,Latin Small Letter U with circumflex,û
U+00FC,252,Latin Small Letter U with diaeresis,ü
U+00FD,253,Latin Small Letter Y with acute,ý
U+00FE,254,Latin Small Letter Thorn,þ
U+00FF,255,Latin Small Letter Y with diaeresis,ÿ
U+0100,256,Latin Capital Letter A with macron,Ā
U+0101,257,Latin Small Letter A with macron,ā
U+0102,258,Latin Capital Letter A with breve,Ă
U+0103,259,Latin Small Letter A with breve,ă
U+0104,260,Latin Capital Letter A with ogonek,Ą
U+0105,261,Latin Small Letter A with ogonek,ą
U+0106,262,Latin Capital Letter C with acute,Ć
U+0107,263,Latin Small Letter C with acute,ć
U+0108,264,Latin Capital Letter C with circumflex,Ĉ
U+0109,265,Latin Small Letter C with circumflex,ĉ
U+010A,266,Latin Capital Letter C with dot above,Ċ
U+010B,267,Latin Small Letter C with dot above,ċ
U+010C,268,Latin Capital Letter C with caron,Č
U+010D,269,Latin Small Letter C with caron,č
U+010E,270,Latin Capital Letter D with caron,Ď
U+010F,271,Latin Small Letter D with caron,ď
U+0110,272,Latin Capital Letter D with stroke,Đ
U+0111,273,Latin Small Letter D with stroke,đ
U+0112,274,Latin Capital Letter E with macron,Ē
U+0113,275,Latin Small Letter E with macron,ē
U+0114,276,Latin Capital Letter E with breve,Ĕ
U+0115,277,Latin Small Letter E with breve,ĕ
U+0116,278,Latin Capital Letter E with dot above,Ė
U+0117,279,Latin Small Letter E with dot above,ė
U+0118,280,Latin Capital Letter E with ogonek,Ę
U+0119,281,Latin Small Letter E with ogonek,ę
U+011A,282,Latin Capital Letter E with caron,Ě
U+011B,283,Latin Small Letter E with caron,ě
U+011C,284,Latin Capital Letter G with circumflex,Ĝ
U+011D,285,Latin Small Letter G with circumflex,ĝ
U+011E,286,Latin Capital Letter G with breve,Ğ
U+011F,287,Latin Small Letter G with breve,ğ
U+0120,288,Latin Capital Letter G with dot above,Ġ
U+0121,289,Latin Small Letter G with dot above,ġ
U+0122,290,Latin Capital Letter G with cedilla,Ģ
U+0123,291,Latin Small Letter G with cedilla,ģ
U+0124,292,Latin Capital Letter H with circumflex,Ĥ
U+0125,293,Latin Small Letter H with circumflex,ĥ
U+0126,294,Latin Capital Letter H with stroke,Ħ
U+0127,295,Latin Small Letter H with stroke,ħ
U+0128,296,Latin Capital Letter I with tilde,Ĩ
U+0129,297,Latin Small Letter I with tilde,ĩ
U+012A,298,Latin Capital Letter I with macron,Ī
U+012B,299,Latin Small Letter I with macron,ī
U+012C,300,Latin Capital Letter I with breve,Ĭ
U+012D,301,Latin Small Letter I with breve,ĭ
U+012E,302,Latin Capital Letter I with ogonek,Į
U+012F,303,Latin Small Letter I with ogonek,į
U+0130,304,Latin Capital Letter I with dot above,İ
U+0131,305,Latin Small Letter dotless I,ı
U+0132,306,Latin Capital Ligature IJ,Ĳ
U+0133,307,Latin Small Ligature IJ,ĳ
U+0134,308,Latin Capital Letter J with circumflex,Ĵ
U+0135,309,Latin Small Letter J with circumflex,ĵ
U+0136,310,Latin Capital Letter K with cedilla,Ķ
U+0137,311,Latin Small Letter K with cedilla,ķ
U+0138,312,Latin Small Letter Kra,ĸ
U+0139,313,Latin Capital Letter L with acute,Ĺ
U+013A,314,Latin Small Letter L with acute,ĺ
U+013B,315,Latin Capital Letter L with cedilla,Ļ
U+013C,316,Latin Small Letter L with cedilla,ļ
U+013D,317,Latin Capital Letter L with caron,Ľ
U+013E,318,Latin Small Letter L with caron,ľ
U+013F,319,Latin Capital Letter L with middle dot,Ŀ
U+0140,320,Latin Small Letter L with middle dot,ŀ
U+0141,321,Latin Capital Letter L with stroke,Ł
U+0142,322,Latin Small Letter L with stroke,ł
U+0143,323,Latin Capital Letter N with acute,Ń
U+0144,324,Latin Small Letter N with acute,ń
U+0145,325,Latin Capital Letter N with cedilla,Ņ
U+0146,326,Latin Small Letter N with cedilla,ņ
U+0147,327,Latin Capital Letter N with caron,Ň
U+0148,328,Latin Small Letter N with caron,ň
U+0149,329,Latin Small Letter N preceded by apostrophe[2],ŉ
U+014A,330,Latin Capital Letter Eng,Ŋ
U+014B,331,Latin Small Letter Eng,ŋ
U+014C,332,Latin Capital Letter O with macron,Ō
U+014D,333,Latin Small Letter O with macron,ō
U+014E,334,Latin Capital Letter O with breve,Ŏ
U+014F,335,Latin Small Letter O with breve,ŏ
U+0150,336,Latin Capital Letter O with double acute,Ő
U+0151,337,Latin Small Letter O with double acute,ő
U+0152,338,Latin Capital Ligature OE,Œ
U+0153,339,Latin Small Ligature OE,œ
U+0154,340,Latin Capital Letter R with acute,Ŕ
U+0155,341,Latin Small Letter R with acute,ŕ
U+0156,342,Latin Capital Letter R with cedilla,Ŗ
U+0157,343,Latin Small Letter R with cedilla,ŗ
U+0158,344,Latin Capital Letter R with caron,Ř
U+0159,345,Latin Small Letter R with caron,ř
U+015A,346,Latin Capital Letter S with acute,Ś
U+015B,347,Latin Small Letter S with acute,ś
U+015C,348,Latin Capital Letter S with circumflex,Ŝ
U+015D,349,Latin Small Letter S with circumflex,ŝ
U+015E,350,Latin Capital Letter S with cedilla,Ş
U+015F,351,Latin Small Letter S with cedilla,ş
U+0160,352,Latin Capital Letter S with caron,Š
U+0161,353,Latin Small Letter S with caron,š
U+0162,354,Latin Capital Letter T with cedilla,Ţ
U+0163,355,Latin Small Letter T with cedilla,ţ
U+0164,356,Latin Capital Letter T with caron,Ť
U+0165,357,Latin Small Letter T with caron,ť
U+0166,358,Latin Capital Letter T with stroke,Ŧ
U+0167,359,Latin Small Letter T with stroke,ŧ
U+0168,360,Latin Capital Letter U with tilde,Ũ
U+0169,361,Latin Small Letter U with tilde,ũ
U+016A,362,Latin Capital Letter U with macron,Ū
U+016B,363,Latin Small Letter U with macron,ū
U+016C,364,Latin Capital Letter U with breve,Ŭ
U+016D,365,Latin Small Letter U with breve,ŭ
U+016E,366,Latin Capital Letter U with ring above,Ů
U+016F,367,Latin Small Letter U with ring above,ů
U+0170,368,Latin Capital Letter U with double acute,Ű
U+0171,369,Latin Small Letter U with double acute,ű
U+0172,370,Latin Capital Letter U with ogonek,Ų
U+0173,371,Latin Small Letter U with ogonek,ų
U+0174,372,Latin Capital Letter W with circumflex,Ŵ
U+0175,373,Latin Small Letter W with circumflex,ŵ
U+0176,374,Latin Capital Letter Y with circumflex,Ŷ
U+0177,375,Latin Small Letter Y with circumflex,ŷ
U+0178,376,Latin Capital Letter Y with diaeresis,Ÿ
U+0179,377,Latin Capital Letter Z with acute,Ź
U+017A,378,Latin Small Letter Z with acute,ź
U+017B,379,Latin Capital Letter Z with dot above,Ż
U+017C,380,Latin Small Letter Z with dot above,ż
U+017D,381,Latin Capital Letter Z with caron,Ž
U+017E,382,Latin Small Letter Z with caron,ž
U+017F,383,Latin Small Letter long S,ſ
U+0180,384,Latin Small Letter B with stroke,ƀ
U+0181,385,Latin Capital Letter B with hook,Ɓ
U+0182,386,Latin Capital Letter B with top bar,Ƃ
U+0183,387,Latin Small Letter B with top bar,ƃ
U+0184,388,Latin Capital Letter Tone Six,Ƅ
U+0185,389,Latin Small Letter Tone Six,ƅ
U+0186,390,Latin Capital Letter Open O,Ɔ
U+0187,391,Latin Capital Letter C with hook,Ƈ
U+0188,392,Latin Small Letter C with hook,ƈ
U+0189,393,Latin Capital Letter African D,Ɖ
U+018A,394,Latin Capital Letter D with hook,Ɗ
U+018B,395,Latin Capital Letter D with top bar,Ƌ
U+018C,396,Latin Small Letter D with top bar,ƌ
U+018D,397,Latin Small Letter Turned Delta,ƍ
U+018E,398,Latin Capital Letter Reversed E,Ǝ
U+018F,399,Latin Capital Letter Schwa,Ə
U+0190,400,Latin Capital Letter Open E,Ɛ
U+0191,401,Latin Capital Letter F with hook,Ƒ
U+0192,402,Latin Small Letter F with hook,ƒ
U+0193,403,Latin Capital Letter G with hook,Ɠ
U+0194,404,Latin Capital Letter Gamma,Ɣ
U+0195,405,Latin Small Letter HV,ƕ
U+0196,406,Latin Capital Letter Iota,Ɩ
U+0197,407,Latin Capital Letter I with stroke,Ɨ
U+0198,408,Latin Capital Letter K with hook,Ƙ
U+0199,409,Latin Small Letter K with hook,ƙ
U+019A,410,Latin Small Letter L with bar,ƚ
U+019B,411,Latin Small Letter Lambda with stroke,ƛ
U+019C,412,Latin Capital Letter Turned M,Ɯ
U+019D,413,Latin Capital Letter N with left hook,Ɲ
U+019E,414,Latin Small Letter N with long right leg,ƞ
U+019F,415,Latin Capital Letter O with middle tilde,Ɵ
U+01A0,416,Latin Capital Letter O with horn,Ơ
U+01A1,417,Latin Small Letter O with horn,ơ
U+01A2,418,Latin Capital Letter OI (= Latin Capital Letter Gha),Ƣ
U+01A3,419,Latin Small Letter OI (= Latin Small Letter Gha),ƣ
U+01A4,420,Latin Capital Letter P with hook,Ƥ
U+01A5,421,Latin Small Letter P with hook,ƥ
U+01A6,422,Latin Letter YR,Ʀ
U+01A7,423,Latin Capital Letter Tone Two,Ƨ
U+01A8,424,Latin Small Letter Tone Two,ƨ
U+01A9,425,Latin Capital Letter Esh,Ʃ
U+01AA,426,Latin Letter Reversed Esh Loop,ƪ
U+01AB,427,Latin Small Letter T with palatal hook,ƫ
U+01AC,428,Latin Capital Letter T with hook,Ƭ
U+01AD,429,Latin Small Letter T with hook,ƭ
U+01AE,430,Latin Capital Letter T with retroflex hook,Ʈ
U+01AF,431,Latin Capital Letter U with horn,Ư
U+01B0,432,Latin Small Letter U with horn,ư
U+01B1,433,Latin Capital Letter Upsilon,Ʊ
U+01B2,434,Latin Capital Letter V with hook,Ʋ
U+01B3,435,Latin Capital Letter Y with hook,Ƴ
U+01B4,436,Latin Small Letter Y with hook,ƴ
U+01B5,437,Latin Capital Letter Z with stroke,Ƶ
U+01B6,438,Latin Small Letter Z with stroke,ƶ
U+01B7,439,Latin Capital Letter Ezh,Ʒ
U+01B8,440,Latin Capital Letter Ezh reversed,Ƹ
U+01B9,441,Latin Small Letter Ezh reversed,ƹ
U+01BA,442,Latin Small Letter Ezh with tail,ƺ
U+01BB,443,Latin Letter Two with stroke,ƻ
U+01BC,444,Latin Capital Letter Tone Five,Ƽ
U+01BD,445,Latin Small Letter Tone Five,ƽ
U+01BE,446,Latin Letter Inverted Glottal Stop with stroke,ƾ
U+01BF,447,Latin Letter Wynn,ƿ
U+01C0,448,Latin Letter Dental Click,ǀ
U+01C1,449,Latin Letter Lateral Click,ǁ
U+01C2,450,Latin Letter Alveolar Click,ǂ
U+01C3,451,Latin Letter Retroflex Click,ǃ
U+01C4,452,Latin Capital Letter DZ with caron,Ǆ
U+01C5,453,Latin Capital Letter D with Small Letter Z with caron,ǅ
U+01C6,454,Latin Small Letter DZ with caron,ǆ
U+01C7,455,Latin Capital Letter LJ,Ǉ
U+01C8,456,Latin Capital Letter L with Small Letter J,ǈ
U+01C9,457,Latin Small Letter LJ,ǉ
U+01CA,458,Latin Capital Letter NJ,Ǌ
U+01CB,459,Latin Capital Letter N with Small Letter J,ǋ
U+01CC,460,Latin Small Letter NJ,ǌ
U+01CD,461,Latin Capital Letter A with caron,Ǎ
U+01CE,462,Latin Small Letter A with caron,ǎ
U+01CF,463,Latin Capital Letter I with caron,Ǐ
U+01D0,464,Latin Small Letter I with caron,ǐ
U+01D1,465,Latin Capital Letter O with caron,Ǒ
U+01D2,466,Latin Small Letter O with caron,ǒ
U+01D3,467,Latin Capital Letter U with caron,Ǔ
U+01D4,468,Latin Small Letter U with caron,ǔ
U+01D5,469,Latin Capital Letter U with diaeresis and macron,Ǖ
U+01D6,470,Latin Small Letter U with diaeresis and macron,ǖ
U+01D7,471,Latin Capital Letter U with diaeresis and acute,Ǘ
U+01D8,472,Latin Small Letter U with diaeresis and acute,ǘ
U+01D9,473,Latin Capital Letter U with diaeresis and caron,Ǚ
U+01DA,474,Latin Small Letter U with diaeresis and caron,ǚ
U+01DB,475,Latin Capital Letter U with diaeresis and grave,Ǜ
U+01DC,476,Latin Small Letter U with diaeresis and grave,ǜ
U+01DD,477,Latin Small Letter Turned E,ǝ
U+01DE,478,Latin Capital Letter A with diaeresis and macron,Ǟ
U+01DF,479,Latin Small Letter A with diaeresis and macron,ǟ
U+01E0,480,Latin Capital Letter A with dot above and macron,Ǡ
U+01E1,481,Latin Small Letter A with dot above and macron,ǡ
U+01E2,482,Latin Capital Letter Æ with macron,Ǣ
U+01E3,483,Latin Small Letter Æ with macron,ǣ
U+01E4,484,Latin Capital Letter G with stroke,Ǥ
U+01E5,485,Latin Small Letter G with stroke,ǥ
U+01E6,486,Latin Capital Letter G with caron,Ǧ
U+01E7,487,Latin Small Letter G with caron,ǧ
U+01E8,488,Latin Capital Letter K with caron,Ǩ
U+01E9,489,Latin Small Letter K with caron,ǩ
U+01EA,490,Latin Capital Letter O with ogonek,Ǫ
U+01EB,491,Latin Small Letter O with ogonek,ǫ
U+01EC,492,Latin Capital Letter O with ogonek and macron,Ǭ
U+01ED,493,Latin Small Letter O with ogonek and macron,ǭ
U+01EE,494,Latin Capital Letter Ezh with caron,Ǯ
U+01EF,495,Latin Small Letter Ezh with caron,ǯ
U+01F0,496,Latin Small Letter J with caron,ǰ
U+01F1,497,Latin Capital Letter DZ,Ǳ
U+01F2,498,Latin Capital Letter D with Small Letter Z,ǲ
U+01F3,499,Latin Small Letter DZ,ǳ
U+01F4,500,Latin Capital Letter G with acute,Ǵ
U+01F5,501,Latin Small Letter G with acute,ǵ
U+01F6,502,Latin Capital Letter Hwair,Ƕ
U+01F7,503,Latin Capital Letter Wynn,Ƿ
U+01F8,504,Latin Capital Letter N with grave,Ǹ
U+01F9,505,Latin Small Letter N with grave,ǹ
U+01FA,506,Latin Capital Letter A with ring above and acute,Ǻ
U+01FB,507,Latin Small Letter A with ring above and acute,ǻ
U+01FC,508,Latin Capital Letter Æ with acute,Ǽ
U+01FD,509,Latin Small Letter Æ with acute,ǽ
U+01FE,510,Latin Capital Letter O with stroke and acute,Ǿ
U+01FF,511,Latin Small Letter O with stroke and acute,ǿ
U+0200,512,Latin Capital Letter A with double grave,Ȁ
U+0201,513,Latin Small Letter A with double grave,ȁ
U+0202,514,Latin Capital Letter A with inverted breve,Ȃ
U+0203,515,Latin Small Letter A with inverted breve,ȃ
U+0204,516,Latin Capital Letter E with double grave,Ȅ
U+0205,517,Latin Small Letter E with double grave,ȅ
U+0206,518,Latin Capital Letter E with inverted breve,Ȇ
U+0207,519,Latin Small Letter E with inverted breve,ȇ
U+0208,520,Latin Capital Letter I with double grave,Ȉ
U+0209,521,Latin Small Letter I with double grave,ȉ
U+020A,522,Latin Capital Letter I with inverted breve,Ȋ
U+020B,523,Latin Small Letter I with inverted breve,ȋ
U+020C,524,Latin Capital Letter O with double grave,Ȍ
U+020D,525,Latin Small Letter O with double grave,ȍ
U+020E,526,Latin Capital Letter O with inverted breve,Ȏ
U+020F,527,Latin Small Letter O with inverted breve,ȏ
U+0210,528,Latin Capital Letter R with double grave,Ȑ
U+0211,529,Latin Small Letter R with double grave,ȑ
U+0212,530,Latin Capital Letter R with inverted breve,Ȓ
U+0213,531,Latin Small Letter R with inverted breve,ȓ
U+0214,532,Latin Capital Letter U with double grave,Ȕ
U+0215,533,Latin Small Letter U with double grave,ȕ
U+0216,534,Latin Capital Letter U with inverted breve,Ȗ
U+0217,535,Latin Small Letter U with inverted breve,ȗ
U+0218,536,Latin Capital Letter S with comma below,Ș
U+0219,537,Latin Small Letter S with comma below,ș
U+021A,538,Latin Capital Letter T with comma below,Ț
U+021B,539,Latin Small Letter T with comma below,ț
U+021C,540,Latin Capital Letter Yogh,Ȝ
U+021D,541,Latin Small Letter Yogh,ȝ
U+021E,542,Latin Capital Letter H with caron,Ȟ
U+021F,543,Latin Small Letter H with caron,ȟ
U+0220,544,Latin Capital Letter N with long right leg,Ƞ
U+0221,545,Latin Small Letter D with curl,ȡ
U+0222,546,Latin Capital Letter OU,Ȣ
U+0223,547,Latin Small Letter OU,ȣ
U+0224,548,Latin Capital Letter Z with hook,Ȥ
U+0225,549,Latin Small Letter Z with hook,ȥ
U+0226,550,Latin Capital Letter A with dot above,Ȧ
U+0227,551,Latin Small Letter A with dot above,ȧ
U+0228,552,Latin Capital Letter E with cedilla,Ȩ
U+0229,553,Latin Small Letter E with cedilla,ȩ
U+022A,554,Latin Capital Letter O with diaeresis and macron,Ȫ
U+022B,555,Latin Small Letter O with diaeresis and macron,ȫ
U+022C,556,Latin Capital Letter O with tilde and macron,Ȭ
U+022D,557,Latin Small Letter O with tilde and macron,ȭ
U+022E,558,Latin Capital Letter O with dot above,Ȯ
U+022F,559,Latin Small Letter O with dot above,ȯ
U+0230,560,Latin Capital Letter O with dot above and macron,Ȱ
U+0231,561,Latin Small Letter O with dot above and macron,ȱ
U+0232,562,Latin Capital Letter Y with macron,Ȳ
U+0233,563,Latin Small Letter Y with macron,ȳ
U+0234,564,Latin Small Letter L with curl,ȴ
U+0235,565,Latin Small Letter N with curl,ȵ
U+0236,566,Latin Small Letter T with curl,ȶ
U+0237,567,Latin Small Letter Dotless J,ȷ
U+0238,568,Latin Small Letter DB Digraph,ȸ
U+0239,569,Latin Small Letter QP Digraph,ȹ
U+023A,570,Latin Capital Letter A with stroke,Ⱥ
U+023B,571,Latin Capital Letter C with stroke,Ȼ
U+023C,572,Latin Small Letter C with stroke,ȼ
U+023D,573,Latin Capital Letter L with bar,Ƚ
U+023E,574,Latin Capital Letter T with diagonal stroke,Ⱦ
U+023F,575,Latin Small Letter S with swash tail,ȿ
